rid,node,behavior,code,lat_us,reply
2520,2,0,0,15429,"rid:2520:immediate"
2522,2,0,0,15406,"rid:2522:immediate"
2523,2,0,0,15395,"rid:2523:immediate"
2524,2,0,0,15377,"rid:2524:immediate"
2526,2,0,0,15339,"rid:2526:immediate"
3111,3,0,0,11314,"rid:3111:immediate"
2527,2,0,0,15333,"rid:2527:immediate"
2528,2,0,0,15330,"rid:2528:immediate"
3112,3,0,0,11311,"rid:3112:immediate"
2531,2,0,0,15304,"rid:2531:immediate"
3113,3,0,0,11269,"rid:3113:immediate"
2532,2,0,0,15287,"rid:2532:immediate"
2534,2,0,0,15249,"rid:2534:immediate"
3114,3,0,0,11252,"rid:3114:immediate"
2539,2,0,0,15168,"rid:2539:immediate"
2540,2,0,0,15164,"rid:2540:immediate"
2541,2,0,0,15161,"rid:2541:immediate"
2542,2,0,0,15158,"rid:2542:immediate"
2545,2,0,0,15146,"rid:2545:immediate"
2547,2,0,0,15140,"rid:2547:immediate"
2550,2,0,0,15128,"rid:2550:immediate"
2553,2,0,0,15113,"rid:2553:immediate"
2555,2,0,0,15106,"rid:2555:immediate"
2556,2,0,0,15103,"rid:2556:immediate"
2557,2,0,0,15099,"rid:2557:immediate"
2560,2,0,0,15087,"rid:2560:immediate"
1386,1,1,0,23078,"rid:1386:delayed"
2563,2,0,0,15071,"rid:2563:immediate"
2565,2,0,0,15063,"rid:2565:immediate"
2566,2,0,0,15060,"rid:2566:immediate"
2567,2,0,0,15057,"rid:2567:immediate"
2571,2,0,0,15026,"rid:2571:immediate"
2573,2,0,0,15016,"rid:2573:immediate"
2574,2,0,0,15014,"rid:2574:immediate"
2576,2,0,0,15001,"rid:2576:immediate"
2578,2,0,0,14989,"rid:2578:immediate"
2580,2,0,0,14977,"rid:2580:immediate"
2582,2,0,0,14959,"rid:2582:immediate"
2585,2,0,0,14846,"rid:2585:immediate"
2586,2,0,0,14841,"rid:2586:immediate"
2588,2,0,0,14831,"rid:2588:immediate"
2590,2,0,0,14780,"rid:2590:immediate"
2594,2,0,0,14758,"rid:2594:immediate"
2595,2,0,0,14753,"rid:2595:immediate"
2597,2,0,0,14721,"rid:2597:immediate"
2601,2,0,0,14680,"rid:2601:immediate"
2603,2,0,0,14667,"rid:2603:immediate"
2606,2,0,0,14631,"rid:2606:immediate"
2610,2,0,0,14585,"rid:2610:immediate"
2614,2,0,0,14541,"rid:2614:immediate"
2616,2,0,0,14533,"rid:2616:immediate"
2617,2,0,0,14526,"rid:2617:immediate"
2619,2,0,0,14515,"rid:2619:immediate"
2620,2,0,0,14512,"rid:2620:immediate"
2626,2,0,0,14480,"rid:2626:immediate"
2630,2,0,0,14460,"rid:2630:immediate"
2634,2,0,0,14439,"rid:2634:immediate"
2636,2,0,0,14417,"rid:2636:immediate"
2638,2,0,0,14403,"rid:2638:immediate"
2639,2,0,0,14394,"rid:2639:immediate"
2641,2,0,0,14383,"rid:2641:immediate"
2642,2,0,0,14377,"rid:2642:immediate"
2645,2,0,0,14354,"rid:2645:immediate"
2651,2,0,0,14324,"rid:2651:immediate"
2653,2,0,0,14314,"rid:2653:immediate"
2656,2,0,0,14294,"rid:2656:immediate"
2658,2,0,0,14286,"rid:2658:immediate"
2659,2,0,0,14269,"rid:2659:immediate"
2661,2,0,0,14256,"rid:2661:immediate"
2663,2,0,0,14249,"rid:2663:immediate"
2665,2,0,0,14242,"rid:2665:immediate"
2666,2,0,0,14237,"rid:2666:immediate"
2669,2,0,0,14227,"rid:2669:immediate"
2671,2,0,0,14219,"rid:2671:immediate"
2672,2,0,0,14217,"rid:2672:immediate"
2673,2,0,0,14213,"rid:2673:immediate"
1849,1,1,0,20349,"rid:1849:delayed"
1856,1,1,0,20313,"rid:1856:delayed"
1513,1,1,0,22435,"rid:1513:delayed"
1418,1,1,0,22965,"rid:1418:delayed"
1723,1,1,0,21191,"rid:1723:delayed"
1888,1,1,0,20082,"rid:1888:delayed"
1542,1,1,0,22254,"rid:1542:delayed"
1550,1,1,0,22214,"rid:1550:delayed"
1745,1,1,0,21096,"rid:1745:delayed"
1748,1,1,0,21083,"rid:1748:delayed"
1443,1,1,0,22788,"rid:1443:delayed"
1578,1,1,0,22022,"rid:1578:delayed"
1780,1,1,0,20750,"rid:1780:delayed"
1943,1,1,0,19637,"rid:1943:delayed"
1968,1,1,0,19529,"rid:1968:delayed"
1969,1,1,0,19526,"rid:1969:delayed"
1971,1,1,0,19519,"rid:1971:delayed"
1477,1,1,0,22627,"rid:1477:delayed"
1979,1,1,0,19484,"rid:1979:delayed"
1482,1,1,0,22601,"rid:1482:delayed"
1831,1,1,0,20461,"rid:1831:delayed"
1669,1,1,0,21493,"rid:1669:delayed"
1684,1,1,0,21381,"rid:1684:delayed"
1850,1,1,0,20370,"rid:1850:delayed"
1701,1,1,0,21308,"rid:1701:delayed"
1863,1,1,0,20221,"rid:1863:delayed"
1709,1,1,0,21277,"rid:1709:delayed"
1881,1,1,0,20136,"rid:1881:delayed"
1730,1,1,0,21187,"rid:1730:delayed"
1544,1,1,0,22269,"rid:1544:delayed"
1554,1,1,0,22216,"rid:1554:delayed"
1917,1,1,0,19774,"rid:1917:delayed"
1774,1,1,0,20821,"rid:1774:delayed"
1817,1,1,0,20585,"rid:1817:delayed"
1976,1,1,0,19516,"rid:1976:delayed"
1624,1,1,0,21744,"rid:1624:delayed"
1977,1,1,0,19513,"rid:1977:delayed"
1661,1,1,0,21550,"rid:1661:delayed"
1663,1,1,0,21543,"rid:1663:delayed"
1642,1,1,0,21646,"rid:1642:delayed"
1688,1,1,0,21379,"rid:1688:delayed"
1690,1,1,0,21371,"rid:1690:delayed"
1692,1,1,0,21364,"rid:1692:delayed"
1697,1,1,0,21343,"rid:1697:delayed"
3012,3,1,0,12128,"rid:3012:delayed"
3039,3,1,0,11937,"rid:3039:delayed"
3116,3,0,0,11320,"rid:3116:immediate"
3117,3,0,0,11315,"rid:3117:immediate"
3118,3,0,0,11312,"rid:3118:immediate"
3119,3,0,0,11307,"rid:3119:immediate"
3122,3,0,0,11291,"rid:3122:immediate"
3123,3,0,0,11287,"rid:3123:immediate"
1763,1,1,0,20986,"rid:1763:delayed"
3124,3,0,0,11283,"rid:3124:immediate"
3125,3,0,0,11280,"rid:3125:immediate"
3126,3,0,0,11275,"rid:3126:immediate"
3129,3,0,0,11261,"rid:3129:immediate"
3130,3,0,0,11255,"rid:3130:immediate"
3133,3,0,0,11243,"rid:3133:immediate"
3136,3,0,0,11205,"rid:3136:immediate"
3137,3,0,0,11196,"rid:3137:immediate"
3140,3,0,0,11184,"rid:3140:immediate"
3141,3,0,0,11179,"rid:3141:immediate"
3142,3,0,0,11175,"rid:3142:immediate"
3143,3,0,0,11172,"rid:3143:immediate"
3144,3,0,0,11168,"rid:3144:immediate"
3148,3,0,0,11149,"rid:3148:immediate"
3151,3,0,0,11513,"rid:3151:immediate"
3154,3,0,0,11502,"rid:3154:immediate"
3156,3,0,0,11479,"rid:3156:immediate"
3161,3,0,0,11451,"rid:3161:immediate"
3162,3,0,0,11448,"rid:3162:immediate"
3164,3,0,0,11440,"rid:3164:immediate"
3166,3,0,0,11433,"rid:3166:immediate"
3167,3,0,0,11429,"rid:3167:immediate"
3168,3,0,0,11425,"rid:3168:immediate"
3169,3,0,0,11422,"rid:3169:immediate"
3172,3,0,0,11410,"rid:3172:immediate"
3175,3,0,0,11397,"rid:3175:immediate"
3176,3,0,0,11394,"rid:3176:immediate"
3178,3,0,0,11369,"rid:3178:immediate"
3179,3,0,0,11365,"rid:3179:immediate"
3180,3,0,0,11362,"rid:3180:immediate"
3181,3,0,0,11335,"rid:3181:immediate"
3185,3,0,0,11314,"rid:3185:immediate"
3198,3,0,0,11217,"rid:3198:immediate"
3199,3,0,0,11213,"rid:3199:immediate"
3200,3,0,0,11210,"rid:3200:immediate"
3205,3,0,0,11188,"rid:3205:immediate"
3206,3,0,0,11184,"rid:3206:immediate"
3211,3,0,0,11158,"rid:3211:immediate"
2035,2,1,0,19651,"rid:2035:delayed"
3212,3,0,0,11154,"rid:3212:immediate"
2199,2,1,0,17990,"rid:2199:delayed"
3214,3,0,0,11148,"rid:3214:immediate"
3215,3,0,0,11169,"rid:3215:immediate"
3216,3,0,0,11165,"rid:3216:immediate"
3220,3,0,0,11148,"rid:3220:immediate"
3221,3,0,0,11134,"rid:3221:immediate"
3222,3,0,0,11129,"rid:3222:immediate"
3223,3,0,0,11125,"rid:3223:immediate"
3226,3,0,0,11088,"rid:3226:immediate"
3227,3,0,0,11083,"rid:3227:immediate"
3229,3,0,0,11079,"rid:3229:immediate"
3233,3,0,0,11044,"rid:3233:immediate"
3234,3,0,0,11040,"rid:3234:immediate"
2005,2,1,0,19823,"rid:2005:delayed"
1791,1,1,0,21191,"rid:1791:delayed"
2067,2,1,0,19446,"rid:2067:delayed"
2257,2,1,0,17572,"rid:2257:delayed"
2098,2,1,0,19071,"rid:2098:delayed"
2311,2,1,0,17328,"rid:2311:delayed"
2315,2,1,0,17306,"rid:2315:delayed"
2034,2,1,0,19707,"rid:2034:delayed"
1823,1,1,0,21022,"rid:1823:delayed"
2061,2,1,0,19488,"rid:2061:delayed"
2218,2,1,0,17918,"rid:2218:delayed"
2126,2,1,0,18745,"rid:2126:delayed"
2074,2,1,0,19423,"rid:2074:delayed"
2287,2,1,0,17443,"rid:2287:delayed"
2158,2,1,0,18331,"rid:2158:delayed"
2249,2,1,0,17613,"rid:2249:delayed"
2093,2,1,0,19212,"rid:2093:delayed"
2253,2,1,0,17600,"rid:2253:delayed"
2309,2,1,0,17348,"rid:2309:delayed"
2417,2,1,0,16677,"rid:2417:delayed"
2350,2,1,0,17145,"rid:2350:delayed"
2047,2,1,0,19606,"rid:2047:delayed"
2357,2,1,0,17113,"rid:2357:delayed"
2364,2,1,0,17083,"rid:2364:delayed"
2058,2,1,0,19555,"rid:2058:delayed"
2372,2,1,0,16990,"rid:2372:delayed"
2119,2,1,0,18813,"rid:2119:delayed"
2376,2,1,0,16972,"rid:2376:delayed"
2485,2,1,0,16262,"rid:2485:delayed"
2138,2,1,0,18531,"rid:2138:delayed"
2289,2,1,0,17447,"rid:2289:delayed"
2245,2,1,0,17645,"rid:2245:delayed"
2156,2,1,0,18354,"rid:2156:delayed"
2408,2,1,0,16728,"rid:2408:delayed"
2104,2,1,0,18898,"rid:2104:delayed"
2589,2,1,0,15368,"rid:2589:delayed"
3236,3,0,0,11066,"rid:3236:immediate"
2039,2,1,0,19739,"rid:2039:delayed"
2593,2,1,0,15398,"rid:2593:delayed"
2596,2,1,0,15375,"rid:2596:delayed"
2599,2,1,0,15325,"rid:2599:delayed"
2448,2,1,0,16569,"rid:2448:delayed"
2262,2,1,0,17657,"rid:2262:delayed"
2612,2,1,0,15188,"rid:2612:delayed"
2458,2,1,0,16529,"rid:2458:delayed"
2640,2,1,0,15017,"rid:2640:delayed"
2479,2,1,0,16398,"rid:2479:delayed"
2375,2,1,0,17068,"rid:2375:delayed"
2123,2,1,0,18885,"rid:2123:delayed"
2493,2,1,0,16316,"rid:2493:delayed"
2382,2,1,0,17034,"rid:2382:delayed"
2281,2,1,0,17575,"rid:2281:delayed"
2083,2,1,0,19389,"rid:2083:delayed"
2027,2,1,0,19851,"rid:2027:delayed"
2403,2,1,0,16843,"rid:2403:delayed"
2296,2,1,0,17511,"rid:2296:delayed"
2301,2,1,0,17488,"rid:2301:delayed"
2544,2,1,0,15819,"rid:2544:delayed"
2436,2,1,0,16654,"rid:2436:delayed"
2437,2,1,0,16651,"rid:2437:delayed"
2591,2,1,0,15422,"rid:2591:delayed"
2607,2,1,0,15248,"rid:2607:delayed"
2609,2,1,0,15238,"rid:2609:delayed"
2676,2,0,0,14830,"rid:2676:immediate"
2680,2,0,0,14811,"rid:2680:immediate"
2681,2,0,0,14805,"rid:2681:immediate"
2685,2,0,0,14656,"rid:2685:immediate"
2687,2,0,0,14646,"rid:2687:immediate"
2689,2,0,0,14637,"rid:2689:immediate"
2696,2,0,0,14605,"rid:2696:immediate"
2697,2,0,0,14600,"rid:2697:immediate"
2698,2,0,0,14594,"rid:2698:immediate"
2702,2,0,0,14573,"rid:2702:immediate"
2703,2,0,0,14567,"rid:2703:immediate"
2704,2,0,0,14563,"rid:2704:immediate"
2705,2,0,0,14559,"rid:2705:immediate"
2706,2,0,0,14556,"rid:2706:immediate"
2710,2,0,0,14524,"rid:2710:immediate"
3237,3,0,0,11162,"rid:3237:immediate"
2711,2,0,0,14518,"rid:2711:immediate"
3239,3,0,0,11148,"rid:3239:immediate"
2712,2,0,0,14513,"rid:2712:immediate"
3240,3,0,0,11142,"rid:3240:immediate"
2714,2,0,0,14461,"rid:2714:immediate"
3242,3,0,0,11132,"rid:3242:immediate"
2715,2,0,0,14457,"rid:2715:immediate"
2716,2,0,0,14453,"rid:2716:immediate"
2720,2,0,0,14431,"rid:2720:immediate"
2721,2,0,0,14426,"rid:2721:immediate"
2724,2,0,0,14412,"rid:2724:immediate"
2726,2,0,0,14399,"rid:2726:immediate"
2731,2,0,0,14353,"rid:2731:immediate"
2732,2,0,0,14335,"rid:2732:immediate"
2734,2,0,0,14323,"rid:2734:immediate"
2735,2,0,0,14319,"rid:2735:immediate"
2736,2,0,0,14315,"rid:2736:immediate"
2739,2,0,0,14302,"rid:2739:immediate"
2741,2,0,0,14292,"rid:2741:immediate"
2742,2,0,0,14287,"rid:2742:immediate"
2743,2,0,0,14282,"rid:2743:immediate"
2744,2,0,0,14278,"rid:2744:immediate"
1859,1,1,0,20956,"rid:1859:delayed"
2747,2,0,0,14263,"rid:2747:immediate"
1860,1,1,0,20938,"rid:1860:delayed"
2748,2,0,0,14259,"rid:2748:immediate"
2751,2,0,0,14246,"rid:2751:immediate"
2752,2,0,0,14242,"rid:2752:immediate"
2753,2,0,0,14238,"rid:2753:immediate"
2754,2,0,0,14231,"rid:2754:immediate"
2755,2,0,0,14226,"rid:2755:immediate"
2758,2,0,0,14214,"rid:2758:immediate"
3245,3,0,0,11097,"rid:3245:immediate"
3246,3,0,0,11091,"rid:3246:immediate"
2759,2,0,0,14212,"rid:2759:immediate"
3247,3,0,0,11087,"rid:3247:immediate"
